pin,slack
LED_PATTERN_obuf[3]/U_IOPAD:D,2049
LED_PATTERN_obuf[3]/U_IOPAD:E,
LED_PATTERN_obuf[3]/U_IOPAD:PAD,2049
FUNCTIONAL_OUTPUTS/led_pattern_2_7_0_.m10:A,17824
FUNCTIONAL_OUTPUTS/led_pattern_2_7_0_.m10:B,17783
FUNCTIONAL_OUTPUTS/led_pattern_2_7_0_.m10:C,17721
FUNCTIONAL_OUTPUTS/led_pattern_2_7_0_.m10:D,17677
FUNCTIONAL_OUTPUTS/led_pattern_2_7_0_.m10:Y,17677
STATUS_LED_obuf/U_IOPAD:D,2049
STATUS_LED_obuf/U_IOPAD:E,
STATUS_LED_obuf/U_IOPAD:PAD,2049
FUNCTIONAL_OUTPUTS/counter[1]:ALn,
FUNCTIONAL_OUTPUTS/counter[1]:CLK,17184
FUNCTIONAL_OUTPUTS/counter[1]:D,17277
FUNCTIONAL_OUTPUTS/counter[1]:Q,17184
FUNCTIONAL_OUTPUTS/blink_counter_cry[12]:B,17344
FUNCTIONAL_OUTPUTS/blink_counter_cry[12]:CC,17351
FUNCTIONAL_OUTPUTS/blink_counter_cry[12]:P,17344
FUNCTIONAL_OUTPUTS/blink_counter_cry[12]:S,17351
FUNCTIONAL_OUTPUTS/blink_counter_cry[12]:Y3,
FUNCTIONAL_OUTPUTS/blink_counter_cry[12]:Y3A,
FUNCTIONAL_OUTPUTS/counter[27]:ALn,
FUNCTIONAL_OUTPUTS/counter[27]:CLK,16936
FUNCTIONAL_OUTPUTS/counter[27]:D,16851
FUNCTIONAL_OUTPUTS/counter[27]:Q,16936
FUNCTIONAL_OUTPUTS/pattern_select[0]:ALn,
FUNCTIONAL_OUTPUTS/pattern_select[0]:CLK,16731
FUNCTIONAL_OUTPUTS/pattern_select[0]:D,18600
FUNCTIONAL_OUTPUTS/pattern_select[0]:EN,16665
FUNCTIONAL_OUTPUTS/pattern_select[0]:Q,16731
FUNCTIONAL_OUTPUTS/counter_s_2:B,16912
FUNCTIONAL_OUTPUTS/counter_s_2:CC,
FUNCTIONAL_OUTPUTS/counter_s_2:P,16912
FUNCTIONAL_OUTPUTS/counter_s_2:Y3,
FUNCTIONAL_OUTPUTS/counter_s_2:Y3A,
FUNCTIONAL_OUTPUTS/led_pattern_2_7_0_.m12:A,17824
FUNCTIONAL_OUTPUTS/led_pattern_2_7_0_.m12:B,17783
FUNCTIONAL_OUTPUTS/led_pattern_2_7_0_.m12:C,17721
FUNCTIONAL_OUTPUTS/led_pattern_2_7_0_.m12:D,17677
FUNCTIONAL_OUTPUTS/led_pattern_2_7_0_.m12:Y,17677
FUNCTIONAL_OUTPUTS/counter[11]:ALn,
FUNCTIONAL_OUTPUTS/counter[11]:CLK,17268
FUNCTIONAL_OUTPUTS/counter[11]:D,17033
FUNCTIONAL_OUTPUTS/counter[11]:Q,17268
FAULT_LEDS_obuf[2]/U_IOTRI:DOUT,
FAULT_LEDS_obuf[2]/U_IOTRI:EOUT,
FUNCTIONAL_OUTPUTS/counter[4]:ALn,
FUNCTIONAL_OUTPUTS/counter[4]:CLK,17250
FUNCTIONAL_OUTPUTS/counter[4]:D,17024
FUNCTIONAL_OUTPUTS/counter[4]:Q,17250
FUNCTIONAL_OUTPUTS/counter[7]:ALn,
FUNCTIONAL_OUTPUTS/counter[7]:CLK,17245
FUNCTIONAL_OUTPUTS/counter[7]:D,17002
FUNCTIONAL_OUTPUTS/counter[7]:Q,17245
STATUS_LED_obuf/U_IOTRI:D,2049
STATUS_LED_obuf/U_IOTRI:DOUT,2049
STATUS_LED_obuf/U_IOTRI:EOUT,
FUNCTIONAL_OUTPUTS/blink_counter[5]:ALn,
FUNCTIONAL_OUTPUTS/blink_counter[5]:CLK,17325
